code,description,last_updated
X473,Accidental poisoning by and exposure to carbon monoxide from other sources,2025-09-07
X474,Accidental poisoning by and exposure to carbon monoxide from unspecified sources,2025-09-07
X478,Accidental poisoning by and exposure to other specified gases and vapours,2025-09-07
X479,Accidental poisoning by and exposure to unspecified gases and vapours,2025-09-07
X48,Accidental poisoning by and exposure to pesticides,2025-09-07
X49,Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,2025-09-07
X50,Overexertion and strenuous or repetitive movements,2025-09-07
X51,Travel and motion,2025-09-07
X52,Prolonged stay in weightless environment,2025-09-07
X53,Lack of food,2025-09-07
X54,Lack of water,2025-09-07
X57,Unspecified privation,2025-09-07
X58,Exposure to other specified factors,2025-09-07
X59,Exposure to unspecified factor,2025-09-07
X590,Exposure to unspecified factor causing fracture,2025-09-07
X599,Exposure to unspecified factor causing other and unspecified injury,2025-09-07
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",2025-09-07
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified",2025-09-07
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified",2025-09-07
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system,2025-09-07
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",2025-09-07
X65,Intentional self-poisoning by and exposure to alcohol,2025-09-07
X66,Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours,2025-09-07
X67,Intentional self-poisoning by and exposure to carbon monoxide and other gases and vapours,2025-09-07
X670,Intentional self-poisoning by and exposure to carbon monoxide from combustion engine exhaust,2025-09-07
X671,Intentional self-poisoning by and exposure to carbon monoxide from utility gas,2025-09-07
X672,Intentional self-poisoning by and exposure to carbon monoxide from other domestic fuels,2025-09-07
X673,Intentional self-poisoning by and exposure to carbon monoxide from other sources,2025-09-07
X674,Intentional self-poisoning by and exposure to carbon monoxide from unspecified sources,2025-09-07
X678,Intentional self-poisoning by and exposure to other specified gases and vapours,2025-09-07
X679,Intentional self-poisoning by and exposure to unspecified gases and vapours,2025-09-07
X68,Intentional self-poisoning by and exposure to pesticides,2025-09-07
X69,Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances,2025-09-07
X70,"Intentional self-harm by hanging, strangulation and suffocation",2025-09-07
X71,Intentional self-harm by drowning and submersion,2025-09-07
X72,Intentional self-harm by handgun discharge,2025-09-07
X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge",2025-09-07
X74,Intentional self-harm by other and unspecified firearm discharge,2025-09-07
X75,Intentional self-harm by explosive material,2025-09-07
X76,"Intentional self-harm by smoke, fire and flames",2025-09-07
X77,"Intentional self-harm by steam, hot vapours and hot objects",2025-09-07
X78,Intentional self-harm by sharp object,2025-09-07
X79,Intentional self-harm by blunt object,2025-09-07
X80,Intentional self-harm by jumping from a high place,2025-09-07
X81,Intentional self-harm by jumping or lying before moving object,2025-09-07
X82,Intentional self-harm by crashing of motor vehicle,2025-09-07
X83,Intentional self-harm by other specified means,2025-09-07
X84,Intentional self-harm by unspecified means,2025-09-07
X85,"Assault by drugs, medicaments and biological substances",2025-09-07
X86,Assault by corrosive substance,2025-09-07
X87,Assault by pesticides,2025-09-07
X88,Assault by gases and vapours,2025-09-07
X880,Assault by carbon monoxide from combustion engine exhaust,2025-09-07
X881,Assault by carbon monoxide from utility gas,2025-09-07
X882,Assault by carbon monoxide from other domestic fuels,2025-09-07
X883,Assault by carbon monoxide from other sources,2025-09-07
X884,Assault by carbon monoxide from unspecified sources,2025-09-07
X888,Assault by other specified gases and vapours,2025-09-07
X889,Assault by unspecified gases and vapours,2025-09-07
X89,Assault by other specified chemicals and noxious substances,2025-09-07
X90,Assault by unspecified chemical or noxious substance,2025-09-07
X91,"Assault by hanging, strangulation and suffocation",2025-09-07
X92,Assault by drowning and submersion,2025-09-07
X93,Assault by handgun discharge,2025-09-07
X94,"Assault by rifle, shotgun and larger firearm discharge",2025-09-07
X95,Assault by other and unspecified firearm discharge,2025-09-07
X96,Assault by explosive material,2025-09-07
X97,"Assault by smoke, fire and flames",2025-09-07
X98,"Assault by steam, hot vapours and hot objects",2025-09-07
X99,Assault by sharp object,2025-09-07
Y00,Assault by blunt object,2025-09-07
Y01,Assault by pushing from high place,2025-09-07
Y02,Assault by pushing or placing victim before moving object,2025-09-07
Y03,Assault by crashing of motor vehicle,2025-09-07
Y04,Assault by bodily force,2025-09-07
Y05,Sexual assault by bodily force,2025-09-07
Y06,Neglect and abandonment,2025-09-07
Y060,By spouse or partner,2025-09-07
Y061,By parent,2025-09-07
Y062,By acquaintance or friend,2025-09-07
Y068,By other specified persons,2025-09-07
Y069,By unspecified person,2025-09-07
Y07,Other maltreatment,2025-09-07
Y070,By spouse or partner,2025-09-07
Y071,By parent,2025-09-07
Y072,By acquaintance or friend,2025-09-07
Y073,By official authorities,2025-09-07
Y078,By other specified persons,2025-09-07
Y079,By unspecified person,2025-09-07
Y08,Assault by other specified means,2025-09-07
Y09,Assault by unspecified means,2025-09-07
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent",2025-09-07
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent",2025-09-07
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent",2025-09-07
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent",2025-09-07
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",2025-09-07
Y15,"Poisoning by and exposure to alcohol, undetermined intent",2025-09-07
Y16,"Poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours, undetermined intent",2025-09-07
Y17,"Poisoning by and exposure to carbon monoxide and other gases and vapours, undetermined intent",2025-09-07
Y170,"Poisoning by and exposure to carbon monoxide from combustion engine exhaust, undetermined intent",2025-09-07
Y171,"Poisoning by and exposure to carbon monoxide from utility gas, undetermined intent",2025-09-07
Y172,"Poisoning by and exposure to carbon monoxide from other domestic fuels, undetermined intent",2025-09-07
Y173,"Poisoning by and exposure to carbon monoxide from other sources, undetermined intent",2025-09-07
Y174,"Poisoning by and exposure to carbon monoxide from unspecified sources, undetermined intent",2025-09-07
Y178,"Poisoning by and exposure to other specified gases and vapours, undetermined intent",2025-09-07
Y179,"Poisoning by and exposure to unspecified gases and vapours, undetermined intent",2025-09-07
Y18,"Poisoning by and exposure to pesticides, undetermined intent",2025-09-07
Y19,"Poisoning by and exposure to other and unspecified chemicals and noxious substances, undetermined intent",2025-09-07
Y20,"Hanging, strangulation and suffocation, undetermined intent",2025-09-07
Y21,"Drowning and submersion, undetermined intent",2025-09-07
Y22,"Handgun discharge, undetermined intent",2025-09-07
Y23,"Rifle, shotgun and larger firearm discharge, undetermined intent",2025-09-07
Y24,"Other and unspecified firearm discharge, undetermined intent",2025-09-07
Y25,"Contact with explosive material, undetermined intent",2025-09-07
Y26,"Exposure to smoke, fire and flames, undetermined intent",2025-09-07
Y27,"Contact with steam, hot vapours and hot objects, undetermined intent",2025-09-07
Y28,"Contact with sharp object, undetermined intent",2025-09-07
Y29,"Contact with blunt object, undetermined intent",2025-09-07
Y30,"Falling, jumping or pushed from a high place, undetermined intent",2025-09-07
Y31,"Falling, lying or running before or into moving object, undetermined intent",2025-09-07
Y32,"Crashing of motor vehicle, undetermined intent",2025-09-07
Y33,"Other specified events, undetermined intent",2025-09-07
Y34,"Unspecified event, undetermined intent",2025-09-07
Y35,Legal intervention,2025-09-07
Y350,Legal intervention involving firearm discharge,2025-09-07
Y351,Legal intervention involving explosives,2025-09-07
Y352,Legal intervention involving gas,2025-09-07
Y353,Legal intervention involving blunt objects,2025-09-07
Y354,Legal intervention involving sharp objects,2025-09-07
Y355,Legal execution,2025-09-07
Y356,Legal intervention involving other specified means,2025-09-07
Y357,"Legal intervention, means unspecified",2025-09-07
Y36,Operations of war,2025-09-07
Y360,War operations involving explosion of marine weapons,2025-09-07
Y361,War operations involving destruction of aircraft,2025-09-07
Y362,War operations involving other explosions and fragments,2025-09-07
Y363,"War operations involving fires, conflagrations and hot substances",2025-09-07
Y364,War operations involving firearm discharge and other forms of conventional warfare,2025-09-07
Y365,War operations involving nuclear weapons,2025-09-07
Y366,War operations involving biological weapons,2025-09-07
Y367,War operations involving chemical weapons and other forms of unconventional warfare,2025-09-07
Y368,War operations occurring after cessation of hostilities,2025-09-07
Y369,"War operations, unspecified",2025-09-07
Y40,Systemic antibiotics,2025-09-07
Y400,Penicillins,2025-09-07
Y401,Cefalosporins and other beta-lactam antibiotics,2025-09-07
Y402,Chloramphenicol group,2025-09-07
Y403,Macrolides,2025-09-07
Y404,Tetracyclines,2025-09-07
Y405,Aminoglycosides,2025-09-07
Y406,Rifamycins,2025-09-07
Y407,"Antifungal antibiotics, systemically used",2025-09-07
Y408,Other systemic antibiotics,2025-09-07
Y409,"Systemic antibiotic, unspecified",2025-09-07
Y41,Other systemic anti-infectives and antiparasitics,2025-09-07
Y410,Sulfonamides,2025-09-07
Y411,Antimycobacterial drugs,2025-09-07
Y412,Antimalarials and drugs acting on other blood protozoa,2025-09-07
Y413,Other antiprotozoal drugs,2025-09-07
Y414,Anthelminthics,2025-09-07
Y415,Antiviral drugs,2025-09-07
Y418,Other specified systemic anti-infectives and antiparasitics,2025-09-07
Y419,"Systemic anti-infective and antiparasitic, unspecified",2025-09-07
Y42,"Hormones and their synthetic substitutes and antagonists, not elsewhere classified",2025-09-07
Y420,Glucocorticoids and synthetic analogues,2025-09-07
Y421,Thyroid hormones and substitutes,2025-09-07
Y422,Antithyroid drugs,2025-09-07
Y423,Insulin and oral hypoglycaemic [antidiabetic] drugs,2025-09-07
Y424,Oral contraceptives,2025-09-07
Y425,Other estrogens and progestogens,2025-09-07
Y426,"Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified",2025-09-07
Y427,Androgens and anabolic congeners,2025-09-07
Y428,Other and unspecified hormones and their synthetic substitutes,2025-09-07
Y429,Other and unspecified hormone antagonists,2025-09-07
Y43,Primarily systemic agents,2025-09-07
Y430,Antiallergic and antiemetic drugs,2025-09-07
Y431,Antineoplastic antimetabolites,2025-09-07
Y432,Antineoplastic natural products,2025-09-07
Y433,Other antineoplastic drugs,2025-09-07
Y434,Immunosuppressive agents,2025-09-07
Y435,Acidifying and alkalizing agents,2025-09-07
Y436,"Enzymes, not elsewhere classified",2025-09-07
Y438,"Other primarily systemic agents, not elsewhere classified",2025-09-07
Y439,"Primarily systemic agent, unspecified",2025-09-07
Y44,Agents primarily affecting blood constituents,2025-09-07
Y440,Iron preparations and other anti-hypochromic-anaemia preparations,2025-09-07
Y441,"Vitamin B12, folic acid and other anti-megaloblastic-anaemia preparations",2025-09-07
Y442,Anticoagulants,2025-09-07
Y443,"Anticoagulant antagonists, vitamin K and other coagulants",2025-09-07
Y444,Antithrombotic drugs [platelet-aggregation inhibitors],2025-09-07
Y445,Thrombolytic drugs,2025-09-07
Y446,Natural blood and blood products,2025-09-07
Y447,Plasma substitutes,2025-09-07
Y449,Other and unspecified agents affecting blood constituents,2025-09-07
Y45,"Analgesics, antipyretics and anti-inflammatory drugs",2025-09-07
Y450,Opioids and related analgesics,2025-09-07
Y451,Salicylates,2025-09-07
Y452,Propionic acid derivatives,2025-09-07
Y453,Other nonsteroidal anti-inflammatory drugs [NSAID],2025-09-07
Y454,Antirheumatics,2025-09-07
Y455,4-Aminophenol derivatives,2025-09-07
Y458,Other analgesics and antipyretics,2025-09-07
Y459,"Analgesic, antipyretic and anti-inflammatory drug, unspecified",2025-09-07
Y46,Antiepileptics and antiparkinsonism drugs,2025-09-07
Y460,Succinimides,2025-09-07
Y461,Oxazolidinediones,2025-09-07
Y462,Hydantoin derivatives,2025-09-07
Y463,Deoxybarbiturates,2025-09-07
Y464,Iminostilbenes,2025-09-07
Y465,Valproic acid,2025-09-07
Y466,Other and unspecified antiepileptics,2025-09-07
Y467,Antiparkinsonism drugs,2025-09-07
Y468,Antispasticity drugs,2025-09-07
Y47,"Sedatives, hypnotics and antianxiety drugs",2025-09-07
Y470,"Barbiturates, not elsewhere classified",2025-09-07
Y471,Benzodiazepines,2025-09-07
Y472,Cloral derivatives,2025-09-07
Y473,Paraldehyde,2025-09-07
Y474,Bromine compounds,2025-09-07
Y475,"Mixed sedatives and hypnotics, not elsewhere classified",2025-09-07
Y478,"Other sedatives, hypnotics and antianxiety drugs",2025-09-07
Y479,"Sedative, hypnotic and antianxiety drug, unspecified",2025-09-07
Y48,Anaesthetics and therapeutic gases,2025-09-07
Y480,Inhaled anaesthetics,2025-09-07
Y481,Parenteral anaesthetics,2025-09-07
Y482,Other and unspecified general anaesthetics,2025-09-07
Y483,Local anaesthetics,2025-09-07
Y484,"Anaesthetic, unspecified",2025-09-07
Y485,Therapeutic gases,2025-09-07
Y49,"Psychotropic drugs, not elsewhere classified",2025-09-07
Y490,Tricyclic and tetracyclic antidepressants,2025-09-07
Y491,Monoamine-oxidase-inhibitor antidepressants,2025-09-07
Y492,Other and unspecified antidepressants,2025-09-07
Y493,Phenothiazine antipsychotics and neuroleptics,2025-09-07
Y494,Butyrophenone and thioxanthene neuroleptics,2025-09-07
Y495,Other antipsychotics and neuroleptics,2025-09-07
Y496,Psychodysleptics [hallucinogens],2025-09-07
Y497,Psychostimulants with abuse potential,2025-09-07
Y498,"Other psychotropic drugs, not elsewhere classified",2025-09-07
Y499,"Psychotropic drug, unspecified",2025-09-07
Y50,"Central nervous system stimulants, not elsewhere classified",2025-09-07
Y500,Analeptics,2025-09-07
Y501,Opioid receptor antagonists,2025-09-07
Y502,"Methylxanthines, not elsewhere classified",2025-09-07
Y508,Other central nervous system stimulants,2025-09-07
Y509,"Central nervous system stimulant, unspecified",2025-09-07
Y51,Drugs primarily affecting the autonomic nervous system,2025-09-07
Y510,Anticholinesterase agents,2025-09-07
Y511,Other parasympathomimetics [cholinergics],2025-09-07
Y512,"Ganglionic blocking drugs, not elsewhere classified",2025-09-07
Y513,"Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified",2025-09-07
Y514,"Predominantly alpha-adrenoreceptor agonists, not elsewhere classified",2025-09-07
Y515,"Predominantly beta-adrenoreceptor agonists, not elsewhere classified",2025-09-07
Y516,"Alpha-adrenoreceptor antagonists, not elsewhere classified",2025-09-07
Y517,"Beta-adrenoreceptor antagonists, not elsewhere classified",2025-09-07
Y518,"Centrally acting and adrenergic-neuron-blocking agents, not elsewhere classified",2025-09-07
Y519,Other and unspecified drugs primarily affecting the autonomic nervous system,2025-09-07
Y52,Agents primarily affecting the cardiovascular system,2025-09-07
Y520,Cardiac-stimulant glycosides and drugs of similar action,2025-09-07
Y521,Calcium-channel blockers,2025-09-07
Y522,"Other antidysrhythmic drugs, not elsewhere classified",2025-09-07
Y523,"Coronary vasodilators, not elsewhere classified",2025-09-07
Y524,Angiotensin-converting-enzyme inhibitors,2025-09-07
Y525,"Other antihypertensive drugs, not elsewhere classified",2025-09-07
Y526,Antihyperlipidaemic and antiarteriosclerotic drugs,2025-09-07
Y527,Peripheral vasodilators,2025-09-07
Y528,"Antivaricose drugs, including sclerosing agents",2025-09-07
Y529,Other and unspecified agents primarily affecting the cardiovascular system,2025-09-07
Y53,Agents primarily affecting the gastrointestinal system,2025-09-07
Y530,Histamine H2-receptor antagonists,2025-09-07
Y531,Other antacids and anti-gastric-secretion drugs,2025-09-07
Y532,Stimulant laxatives,2025-09-07
Y533,Saline and osmotic laxatives,2025-09-07
Y534,Other laxatives,2025-09-07
Y535,Digestants,2025-09-07
Y536,Antidiarrhoeal drugs,2025-09-07
Y537,Emetics,2025-09-07
Y538,Other agents primarily affecting the gastrointestinal system,2025-09-07
Y539,"Agent primarily affecting the gastrointestinal system, unspecified",2025-09-07
Y54,Agents primarily affecting water-balance and mineral and uric acid metabolism,2025-09-07
Y540,Mineralocorticoids,2025-09-07
Y541,Mineralocorticoid antagonists [aldosterone antagonists],2025-09-07
Y542,Carbonic-anhydrase inhibitors,2025-09-07
Y543,Benzothiadiazine derivatives,2025-09-07
Y544,Loop [high-ceiling] diuretics,2025-09-07
Y545,Other diuretics,2025-09-07
Y546,"Electrolytic, caloric and water-balance agents",2025-09-07
Y547,Agents affecting calcification,2025-09-07
Y548,Agents affecting uric acid metabolism,2025-09-07
Y549,"Mineral salts, not elsewhere classified",2025-09-07
Y55,Agents primarily acting on smooth and skeletal muscles and the respiratory system,2025-09-07
Y550,Oxytocic drugs,2025-09-07
Y551,Skeletal muscle relaxants [neuromuscular blocking agents],2025-09-07
Y552,Other and unspecified agents primarily acting on muscles,2025-09-07
Y553,Antitussives,2025-09-07
Y554,Expectorants,2025-09-07
Y555,Anti-common-cold drugs,2025-09-07
Y556,"Antiasthmatics, not elsewhere classified",2025-09-07
Y557,Other and unspecified agents primarily acting on the respiratory system,2025-09-07
Y56,"Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs",2025-09-07
Y560,"Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified",2025-09-07
Y561,Antipruritics,2025-09-07
Y562,Local astringents and local detergents,2025-09-07
Y563,"Emollients, demulcents and protectants",2025-09-07
Y564,"Keratolytics, keratoplastics and other hair treatment drugs and preparations",2025-09-07
Y565,Ophthalmological drugs and preparations,2025-09-07
Y566,Otorhinolaryngological drugs and preparations,2025-09-07
Y567,"Dental drugs, topically applied",2025-09-07
Y568,Other topical agents,2025-09-07
Y569,"Topical agent, unspecified",2025-09-07
Y57,Other and unspecified drugs and medicaments,2025-09-07
Y570,Appetite depressants [anorectics],2025-09-07
Y571,Lipotropic drugs,2025-09-07
Y572,"Antidotes and chelating agents, not elsewhere classified",2025-09-07
Y573,Alcohol deterrents,2025-09-07
Y574,Pharmaceutical excipients,2025-09-07
Y575,X-ray contrast media,2025-09-07
Y576,Other diagnostic agents,2025-09-07
Y577,"Vitamins, not elsewhere classified",2025-09-07
Y578,Other drugs and medicaments,2025-09-07
Y579,"Drug or medicament, unspecified",2025-09-07
Y58,Bacterial vaccines,2025-09-07
Y580,BCG vaccine,2025-09-07
Y581,Typhoid and paratyphoid vaccine,2025-09-07
Y582,Cholera vaccine,2025-09-07
Y583,Plague vaccine,2025-09-07
Y584,Tetanus vaccine,2025-09-07
Y585,Diphtheria vaccine,2025-09-07
Y586,"Pertussis vaccine, including combinations with a pertussis component",2025-09-07
Y588,"Mixed bacterial vaccines, except combinations with a pertussis component",2025-09-07
Y589,Other and unspecified bacterial vaccines,2025-09-07
Y59,Other and unspecified vaccines and biological substances,2025-09-07
Y590,Viral vaccines,2025-09-07
Y591,Rickettsial vaccines,2025-09-07
Y592,Protozoal vaccines,2025-09-07
Y593,Immunoglobulin,2025-09-07
Y598,Other specified vaccines and biological substances,2025-09-07
Y599,"Vaccine or biological substance, unspecified",2025-09-07
Y60,"Unintentional cut, puncture, perforation or haemorrhage during surgical and medical care",2025-09-07
Y600,During surgical operation,2025-09-07
Y601,During infusion or transfusion,2025-09-07
Y602,During kidney dialysis or other perfusion,2025-09-07
Y603,During injection or immunization,2025-09-07
Y604,During endoscopic examination,2025-09-07
Y605,During heart catheterization,2025-09-07
Y606,"During aspiration, puncture and other catheterization",2025-09-07
Y607,During administration of enema,2025-09-07
Y608,During other surgical and medical care,2025-09-07
Y609,During unspecified surgical and medical care,2025-09-07
Y61,Foreign object accidentally left in body during surgical and medical care,2025-09-07
Y610,During surgical operation,2025-09-07
Y611,During infusion or transfusion,2025-09-07
Y612,During kidney dialysis or other perfusion,2025-09-07
Y613,During injection or immunization,2025-09-07
Y614,During endoscopic examination,2025-09-07
Y615,During heart catheterization,2025-09-07
Y616,"During aspiration, puncture and other catheterization",2025-09-07
Y617,During removal of catheter or packing,2025-09-07
Y618,During other surgical and medical care,2025-09-07
Y619,During unspecified surgical and medical care,2025-09-07
Y62,Failure of sterile precautions during surgical and medical care,2025-09-07
Y620,During surgical operation,2025-09-07
Y621,During infusion or transfusion,2025-09-07
Y622,During kidney dialysis or other perfusion,2025-09-07
Y623,During injection or immunization,2025-09-07
Y624,During endoscopic examination,2025-09-07
Y625,During heart catheterization,2025-09-07
Y626,"During aspiration, puncture and other catheterization",2025-09-07
Y628,During other surgical and medical care,2025-09-07
Y629,During unspecified surgical and medical care,2025-09-07
Y63,Failure in dosage during surgical and medical care,2025-09-07
Y630,Excessive amount of blood or other fluid given during transfusion or infusion,2025-09-07
Y631,Incorrect dilution of fluid used during infusion,2025-09-07
Y632,Overdose of radiation given during therapy,2025-09-07
Y633,Inadvertent exposure of patient to radiation during medical care,2025-09-07
Y634,Failure in dosage in electroshock or insulin-shock therapy,2025-09-07
Y635,Inappropriate temperature in local application and packing,2025-09-07
Y636,"Nonadministration of necessary drug, medicament or biological substance",2025-09-07
Y638,Failure in dosage during other surgical and medical care,2025-09-07
Y639,Failure in dosage during unspecified surgical and medical care,2025-09-07
Y64,Contaminated medical or biological substances,2025-09-07
Y640,"Contaminated medical or biological substance, transfused or infused",2025-09-07
Y641,"Contaminated medical or biological substance, injected or used for immunization",2025-09-07
Y648,Contaminated medical or biological substance administered by other means,2025-09-07
Y649,Contaminated medical or biological substance administered by unspecified means,2025-09-07
Y65,Other misadventures during surgical and medical care,2025-09-07
Y650,Mismatched blood used in transfusion,2025-09-07
Y651,Wrong fluid used in infusion,2025-09-07
Y652,Failure in suture or ligature during surgical operation,2025-09-07
Y653,Endotracheal tube wrongly placed during anaesthetic procedure,2025-09-07
Y654,Failure to introduce or to remove other tube or instrument,2025-09-07
Y655,Performance of inappropriate operation,2025-09-07
Y658,Other specified misadventures during surgical and medical care,2025-09-07
Y66,Nonadministration of surgical and medical care,2025-09-07
Y69,Unspecified misadventure during surgical and medical care,2025-09-07
Y70,Anaesthesiology devices associated with adverse incidents,2025-09-07
Y700,Anaesthesiology devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y701,Anaesthesiology devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y702,"Anaesthesiology devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y703,"Anaesthesiology devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y708,"Anaesthesiology devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y71,Cardiovascular devices associated with adverse incidents,2025-09-07
Y710,Cardiovascular devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y711,Cardiovascular devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y712,"Cardiovascular devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y713,"Cardiovascular devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y718,"Cardiovascular devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y72,Otorhinolaryngological devices associated with adverse incidents,2025-09-07
Y720,Otorhinolaryngological devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y721,Otorhinolaryngological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y722,"Otorhinolaryngological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y723,"Otorhinolaryngological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y728,"Otorhinolaryngological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y73,Gastroenterology and urology devices associated with adverse incidents,2025-09-07
Y730,Gastroenterology and urology devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y731,Gastroenterology and urology devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y732,"Gastroenterology and urology devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y733,"Gastroenterology and urology devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y738,"Gastroenterology and urology devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y74,General hospital and personal-use devices associated with adverse incidents,2025-09-07
Y740,General hospital and personal-use devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y741,General hospital and personal-use devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y742,"General hospital and personal-use devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y743,"General hospital and personal-use devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y748,"General hospital and personal-use devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y75,Neurological devices associated with adverse incidents,2025-09-07
Y750,Neurological devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y751,Neurological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y752,"Neurological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y753,"Neurological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y758,"Neurological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y76,Obstetric and gynaecological devices associated with adverse incidents,2025-09-07
Y760,Obstetric and gynaecological devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y761,Obstetric and gynaecological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y762,"Obstetric and gynaecological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y763,"Obstetric and gynaecological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y768,"Obstetric and gynaecological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y77,Ophthalmic devices associated with adverse incidents,2025-09-07
Y770,Ophthalmic devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y771,Ophthalmic devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y772,"Ophthalmic devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y773,"Ophthalmic devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y778,"Ophthalmic devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y78,Radiological devices associated with adverse incidents,2025-09-07
Y780,Radiological devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y781,Radiological devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y782,"Radiological devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y783,"Radiological devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y788,"Radiological devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y79,Orthopaedic devices associated with adverse incidents,2025-09-07
Y790,Orthopaedic devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
Y791,Orthopaedic devices associated with adverse incidents: Therapeutic (nonsurgical) and rehabilitative devices,2025-09-07
Y792,"Orthopaedic devices associated with adverse incidents: Prosthetic and other implants, materials and accessory devices",2025-09-07
Y793,"Orthopaedic devices associated with adverse incidents: Surgical instruments, materials and devices (including sutures)",2025-09-07
Y798,"Orthopaedic devices associated with adverse incidents: Miscellaneous devices, not elsewhere classified",2025-09-07
Y80,Physical medicine devices associated with adverse incidents,2025-09-07
Y800,Physical medicine devices associated with adverse incidents: Diagnostic and monitoring devices,2025-09-07
